Data,Sucesso,Beta0,Beta1,Beta2,Beta3,Tau1,Tau2,Custo,NumTitulos,OutliersRemovidos,UsouPreviousParams,Reotimizado,ErroMensagem
2024-03-19,true,0.07059876655158488,0.04145977903947304,0.22778447624469175,-0.2004,3.2231332623146485,1.9520000000000002,8.462825915701544,19,0,true,false,
2024-03-20,true,0.1114607764397268,0.0011882686881058012,-0.06140623466967102,-0.014677190123574171,0.6778945823483182,50.047999999670886,0.745706752945633,19,0,true,false,
2024-03-21,true,0.11308615224048796,-0.005484443888229886,-0.055296978361920726,-0.029378184293504583,0.7858372288938954,50.047999999999995,0.388610637242557,19,1,true,false,
2024-03-22,true,0.11443145345224368,-0.006827792213073979,-0.05663103926810088,-0.019332385410681614,0.7740363400307979,15.629688380865204,0.6454326983229315,19,1,true,false,
2024-03-25,true,0.08126778264877836,0.026370301561846915,-0.018155107845541925,0.07860401658079796,0.48050000000000004,5.3990886020757705,0.27318924695302227,19,0,true,false,
2024-03-26,true,0.11198561013476009,-0.004378271383791964,-0.05523417578293072,-0.023946837358421375,0.734356229848634,50.04799999763087,0.43232569969065165,18,0,true,false,
2024-03-27,true,0.11095030004713868,-0.0033373877257231103,-0.05296330019057604,-0.01675816905896588,0.6957242074763454,50.047999999999995,0.5766807077976175,19,0,true,false,
2024-03-28,true,0.11067348130318547,-0.003060455842074787,-0.05234487896544104,-0.01264617469880303,0.695714374364309,50.047999999843235,0.6046364317690254,19,0,true,false,
2024-03-29,false,,,,,,,,0,0,false,false,Dados insuficientes (<3 títulos)
2024-04-01,true,0.11052589636837919,-0.002917010966278653,-0.05194744484082433,-0.010001550990884556,0.6758489953282936,50.0479999970646,0.8120117829046138,18,1,true,false,
2024-04-02,true,0.1152574104679551,-0.0076584546531318215,-0.0578093969907972,-0.044293348454100996,0.7476913998037407,50.04799999887288,0.7409382988126061,18,0,true,false,
2024-04-03,true,0.08051305098303584,0.026635902179907908,0.22574359075352482,-0.2004,2.9328983698418694,1.9520000000000002,4.973516191071975,18,0,true,false,
2024-04-04,true,0.10489362687917474,0.002716112847875966,-0.04940705227492528,0.020644995034954327,0.6803419834687604,3.9320078832506957,1.338658507431928,18,0,true,false,
2024-04-05,true,0.07750157615691713,0.02964148069573807,0.23223570179038647,-0.2004,2.998467939945561,1.9520000000000002,4.858299069564652,18,0,true,false,
2024-04-08,true,0.0820322734720852,0.025114819798241792,0.22550856592435825,-0.2004,2.906430822157787,1.9520000000000002,5.858134557550086,18,0,true,false,
2024-04-09,true,0.10767601797357831,-6.615198728459098e-5,-0.05210506123494231,0.014384723947720156,0.6852444536035528,2.8393232625680764,1.378739489511224,18,0,true,false,
2024-04-10,true,0.07918932754487139,0.027931931798730037,0.22988835042014844,-0.2004,2.9377879022157614,1.9520000000000002,5.618781659362937,18,0,true,false,
2024-04-11,true,0.11816621670469134,-0.010581610262262429,-0.05833211386993764,-0.0548091181110766,0.7508906744530907,50.04799999909003,0.9782186915478522,18,0,true,false,
2024-04-12,true,0.0949416249590329,0.012691819483531847,-0.030112456880622945,0.04823954075263572,0.48050000000000004,5.403541699399774,1.6156127813357521,18,0,true,false,
2024-04-15,true,0.08667997653608471,0.020464120325725556,0.22355105493224267,-0.2004,2.796330858258524,1.9520000000000002,5.530466640519307,18,1,true,false,
2024-04-16,true,0.1076605814312847,-1.605066169123801e-5,-0.04070156427849074,0.016347510632795575,0.48050000000000004,8.194617996570203,1.0843018584030175,18,1,true,false,
2024-04-17,true,0.11748678472584194,-0.009894777824696539,-0.048288780716027595,-0.02371959842613435,0.6032298603700393,50.047999999999995,2.5592029345867346,18,1,true,false,
2024-04-18,true,0.10349810078174677,0.0040951055256688,-0.02828727275013032,0.03282307905394174,0.48050000000000004,6.061985902459042,1.3346021479357224,18,1,true,false,
2024-04-19,true,0.1018198956105863,0.0057707169288124275,-0.02723978164918803,0.03327246863213311,0.48050000000000004,4.875326851414325,1.0528332941391048,18,0,true,false,
2024-04-22,true,0.09323327125322683,0.014356430075901191,-0.019938661756497323,0.05535331899927458,0.48050000000000004,4.714543610239962,0.8300301159545843,18,0,true,false,
